FECHA,ID_EMPRESA,EMPRESA,ID_TIPOLOGIA,TIPOLOGIA,ID_MEDIO_ATENCION,MEDIO DE ATENCION,NUMERO_QUEJAS
2018-3,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,G1,Medios de atención al usuario,2,Línea Telefónica,582
2018-3,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,G1,Medios de atención al usuario,3,Página Web,7
2018-3,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,G1,Medios de atención al usuario,4,Red social,1
2018-3,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,G1,Medios de atención al usuario,5,Otros,1
2018-3,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,H3,Garantía,1,Oficina,1
2018-3,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,H3,Garantía,2,Línea Telefónica,2
2018-3,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,I1,Otros,1,Oficina,128
2018-3,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,I1,Otros,2,Línea Telefónica,80
2018-3,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,I1,Otros,3,Página Web,283
2018-4,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,A1,Modificación condiciones acordadas,1,Oficina,46
